datetime,open,close,high,low,volume,money,open_interest
2019-09-04,632.592,641.409,645.906,628.081,2877692.0,183583521800.0,1953986.0
2019-09-05,645.028,644.333,660.333,640.089,3407452.0,222202359900.0,2029016.0
2019-09-06,644.26,626.666,654.879,626.593,2930188.0,188000394400.0,1981284.0
2019-09-09,631.546,651.858,652.27,618.191,3777402.0,238489583200.0,1997422.0
2019-09-10,651.296,651.129,655.451,639.104,2589270.0,167622933400.0,1882510.0
2019-09-11,651.711,657.533,661.355,643.05,3059424.0,199679718700.0,2037618.0
2019-09-12,660.164,675.328,676.44,655.113,2583042.0,171403011800.0,1993834.0
2019-09-16,682.054,666.956,685.06,665.477,1691074.0,114003403700.0,1887646.0
2019-09-17,667.383,660.882,671.338,651.331,2014336.0,133338031900.0,2008526.0
2019-09-18,659.568,656.301,674.09,652.699,2792362.0,185362263800.0,2113108.0
2019-09-19,653.626,632.637,657.171,629.002,3286732.0,211226779300.0,2162412.0
2019-09-20,626.922,628.316,632.508,617.986,2471152.0,155066549900.0,2184860.0
2019-09-23,628.516,639.508,641.16,620.556,2735998.0,173953656300.0,2180336.0
2019-09-24,638.403,615.781,640.514,614.36,3019764.0,190715614400.0,2179678.0
2019-09-25,612.634,616.405,621.011,611.153,1609626.0,99907535900.0,2110210.0
2019-09-26,615.269,626.327,631.5,614.004,3062200.0,192862993100.0,2156288.0
2019-09-27,625.059,631.674,635.592,622.364,2047178.0,130328977700.0,2012568.0
2019-09-30,630.496,642.637,649.726,621.224,2293090.0,148978005400.0,1854128.0
2019-10-08,640.338,641.34,651.115,631.728,1356460.0,88535590700.0,1900060.0
2019-10-09,643.396,626.012,645.924,625.429,1781342.0,115274284800.0,2092846.0
2019-10-10,626.78,644.303,645.739,622.508,2393660.0,153738676200.0,2275342.0
2019-10-11,645.63,645.668,649.092,633.177,2177020.0,141279412000.0,2250324.0
2019-10-14,643.402,626.196,649.578,625.216,2158100.0,139322477700.0,2243496.0
2019-10-15,625.432,630.984,633.383,617.559,2354718.0,148724588100.0,2248836.0
2019-10-16,629.335,606.486,631.021,604.735,2592830.0,161620941000.0,2387616.0
2019-10-17,604.374,604.861,607.866,593.143,2441936.0,147543574600.0,2394754.0
2019-10-18,603.743,604.308,608.058,588.044,2614382.0,157853439700.0,2445786.0
2019-10-21,605.589,599.851,607.398,592.664,2335212.0,141641934600.0,2359764.0
2019-10-22,599.626,603.159,606.15,595.443,2151140.0,131099776000.0,2348932.0
2019-10-23,604.326,607.484,614.444,602.822,2280828.0,141219126300.0,2329796.0
2019-10-24,608.836,614.769,615.624,603.748,1973016.0,122194995000.0,2344522.0
